(-0.45, -0.14, 0.88)
(0.41, -0.19, 0.89)
(-0.17, 0.41, 0.90)
(-0.15, -0.40, 0.90)
(0.37, 0.19, 0.91)
(-0.38, 0.10, 0.92)
(0.21, -0.32, 0.92)
(0.06, 0.36, 0.93)
(-0.28, -0.22, 0.94)
(0.34, -0.03, 0.94)
(-0.22, 0.24, 0.95)
(0.00, -0.31, 0.95)
(0.20, 0.22, 0.96)
(-0.28, -0.02, 0.96)
(0.21, -0.16, 0.96)
(-0.04, 0.24, 0.97)
(-0.13, -0.20, 0.97)
(0.21, 0.06, 0.98)
(-0.18, 0.09, 0.98)
(0.06, -0.18, 0.98)
(0.07, 0.16, 0.99)
(-0.14, -0.07, 0.99)
(0.13, -0.04, 0.99)
(-0.06, 0.11, 0.99)
(-0.02, -0.11, 0.99)
(0.08, 0.05, 1.00)
(-0.08, 0.01, 1.00)
(0.04, -0.05, 1.00)
(0.00, 0.05, 1.00)
(-0.02, -0.02, 1.00)
(0.02, 0.00, 1.00)

Just a test
